,tweet,target
0,"Was planning to head up to Scotland this week, looking for plot for one of these but canned it at the last minute. My mind has to be in the right place to drive 5 hours. 4 days R and R at home instead.     https://t.co/sP4FZrvVCN",1
1,@LemonieSays same!!! I can't wait to focus soley on teaching and not stress about assignments! x,1
2,i farmed for 160 primos and got another bennett instead of rosaria .,1
3,@TianaTait I meant to let's have a walk and kill the heart  :) 🫀,1
4,@Benmorris04 happy birthday big man 👀😂⚽️,0
5,"If you've tried antidepressants and they have not worked for you, TMS Therapy may be the right treatment solution.                  https://t.co/A1XAn4UX8Q",1
6,@mycharlibrown @pcbcat43 Happy birthday Mom what a wonderful cake delivery youre blessed,0
7,It’s so hard to be honest about how you feel when depressed.  ,1
8,"@AdekolaAkani You've moved on, no need to stress yourself about Malema and the like down here",1
9,@JucikaDaily That was a stress egg. Those are no good.,1
10,"So... the world has always been mad fucken fucktwit tits up crazy insane.  And we've always known about it.  However... 7 billion people with almost all of them having tiktok, it's just more obvious.       Stop the disc, I wanna get the fuck off",1
11,@pikamonii Hey are u ok?? Whatever it is dont take stress :((,1
12,"And a text or a tag won't do. We have been trained to fake being okay because partners break up with us for being depressed, friends abandon us for being , and family members get angry at us for being depressed. So if you text us, ""you okay?"" We will say we are.",1
13,Another big game day for @FootballSask at the Canada Cup. Next up Ontario. Go get them boys! We'll be cheering you on #306Football #Sask,0
14,Holding on to the last bits of my sanity as the constant stress of college (and life…) pushes it to the edge.  https://t.co/oUMNl7x7qx,1
15,"""I long to be embraced so badly that I cry myself to sleep""     ",1
16,  f*ck    my   https://t.co/jTLj9cmQUA,1
17,this is what I’m really waiting on 😭 I’m not finna let them stress me out about prom,1
18,Happy birthday annie!!!!!!!!!!hope you have the most #best #beautiful #blessed #brilliant #balsamic #bighearted #birthday ever @anniecarney_,0
19,"It’s that lovely time of the semester where every student is a little ball of stress. Which I honestly think is a slight understatement, there are so many assignments due and the added pressure of final exams. Trying to find the time to study and complete assignments 1/2",1
20,Now playing on HUSH Radio app Ann Marie - Stress Relief (With G Herbo)..download the app now from your google play store,1
21,Another reason why I stress on wanting a family so bad. My mom is already 60. I just want her to have a lot of time 😩,1
22,Happy birthday to @LauraJillSomers! Hope you have a lovely and wonderful day. :) *fellow Cancer fist bump*,0
23,"@Vitality_UK @252473claire Am pleased to hear that complaints are fed back. Just seems that a big part of paying a premium is to avoid the stress of chasing and fighting for healthcare, so this really shouldn’t be happening at all, let alone for months and months on end.",1
24,How does an art institution makes you stressed?,1
25,"@uchiwaflame 😭😭Kakashi, you asshole😂😂 making your students wait😩😩 poor Narts, Sak and Sauce😆😆 lmaoooo",1
26,"Sometimes I really long for someone to ask me if I’m okay. Or for someone to just know that I’m not and try to help. Just a hug or a kind word. But in my 24 years, I have never had that. ",1
27,"@DividingByZer0s Protillos day at the rodeo tomorrow. They said it's to thank us for working Black Friday. Tomorrow is kind of Monday for me. Had Wednesday and Today off, but Sunday is my last day at this place. Then, it's off to another. End of Q4 has got me stressed 😫.",1
28,@teringluier @danielsparadijs nee lolz    ,1
29,appreciation tweet to  shippers y'all are something else😭😂😂🥰🥰 This tag can be a stress reliever sometimes. I've been laughing since this fire brigade thing started😭🤣,1
30,Streetlights coming on. We can see stars! #amazing #SolarEclipse2017,0
31,@Iamdepr47974144 Have you thought about getting help?  ,1
32,Are we all aware thar we are using a hashtag that has Eclipse spelled incorrectly?! @ScienceChannel @NebraskaMed  #SolarEclispe  #giggles,0
33,Did she wipe her ass on it?,1
34,"@420moonlight i want you to know that it's completely okay. maybe you just need some time? a break? do whatever you need to, love. there's no rush. be patient and it'll all be okay. you will find what you need soon. don't stress about it a lot, okay? i love you natt. i miss you.",1
35,A simple wallpaper ever 😂,0
36,My bf is buying me pizza for getting through my extreme bout of stress/anxiety and I love him for that,1
37,@theproblem242 Dawg ask for stress and nothing but stress,1
38,@sananyateez @atiny01_ @sankisssy @sparklingyunhoe @Amyxria @dreaming7time @0kaleigh @love_choisan @minkinome @stress_citrus @byeoliee7 I really love this one T_T It always amazes me your ability to do these things ♥ 🥺💙,1
39,My heart is with all of the retail workers in a state of agonizing stress about tomorrow,1
40,"Thank you, @realDonaldTrump, for using the Afghanistan policy of #44... he was pretty smart! \n\nP.S. Do not look directly at the sun! #bad",0
41,@ne0liberal People have some grounds to be unimpressed with “record GDP growth” after the government forcibly shut down the economy and artificially suppressed it. A stress ball will always expand fastest the moment I stop squeezing it.,1
42,@wilberforcegram you go stress if you try,1
43,"Just because everything is back up and running, you retain the right to shutdown yourself. 💰⚖️📉    ",1
44,Really brave move from Ralf Rangnick to take the Man Utd job - someone with a history of stress-related illness choosing to watch Harry Maguire defend every week is a hell of a gambit.,1
45,"""We have looked for these chemical imbalances and we have NOT found them.""        https://t.co/BN3f1vogsh",1
46,I might be inactive in 1-2 days due to my family found the covid-19 but i am not with them.😔 I am very very very stressed and worried about their symptoms that i have to keep in touch with them so I probably have no time.,1
